Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
WATSON LAKE (AUT),YUKON TERRITORY,2101204,32293,71199.0,XQH,60.12,-128.83,600657020,-1284955020,683.3,2002,2024,2005.0,2024.0,2002.0,2024.0,,
WHITEHORSE A,YUKON TERRITORY,2101300,1617,71964.0,YXY,60.71,-135.07,604234200,-1350407800,706.2,1942,2012,1953.0,2012.0,1942.0,2012.0,1942.0,2007.0
WHITEHORSE A,YUKON TERRITORY,2101303,50842,71964.0,YXY,60.71,-135.07,604234000,-1350402000,706.2,2012,2024,2012.0,2024.0,2012.0,2024.0,,
WHITEHORSE AUTO,YUKON TERRITORY,2101310,48168,71773.0,VXY,60.73,-135.1,604359000,-1350552000,707.0,2009,2024,2009.0,2024.0,2009.0,2024.0,,
WHITEHORSE WSO,YUKON TERRITORY,2101415,26988,,WXY,60.73,-135.08,604400000,-1350500000,706.9,1996,1998,,,1996.0,1998.0,1996.0,1998.0
AKLAVIK A,NORTHWEST TERRITORIES,2200100,1623,,YKD,68.22,-135.01,681324000,-1350021000,6.4,1926,2014,1953.0,2014.0,1926.0,2014.0,1926.0,2007.0
AKLAVIK A,NORTHWEST TERRITORIES,2200101,51397,,YKD,68.22,-135.01,681324000,-1350020000,6.4,2014,2024,2014.0,2024.0,,,,
AKLAVIK A,NORTHWEST TERRITORIES,2200105,52962,,YKD,68.22,-135.01,681324000,-1350020000,6.4,2014,2024,2014.0,2024.0,2018.0,2024.0,,
CAPE PARRY A,NORTHWEST TERRITORIES,2200675,1633,71948.0,ZCP,70.17,-124.72,701000000,-1244300000,86.6,1956,2023,1956.0,2023.0,1957.0,2023.0,1957.0,2007.0
CLUT LAKE (AUT),NORTHWEST TERRITORIES,2200777,10896,,WCX,65.6,-117.77,653600000,-1174600000,185.0,1994,2010,1994.0,2005.0,1994.0,2010.0,1998.0,2000.0
COLVILLE LAKE,NORTHWEST TERRITORIES,2200824,10867,71055.0,WFX,67.02,-126.12,670117040,-1260723070,271.0,1994,2024,1994.0,2024.0,1995.0,2024.0,2004.0,2006.0
COLVILLE LAKE A,NORTHWEST TERRITORIES,2200827,52899,,YVL,67.02,-126.13,670116000,-1260743000,274.0,2014,2024,2014.0,2024.0,2018.0,2024.0,,
DELINE A,NORTHWEST TERRITORIES,2201020,52778,,YWJ,65.21,-123.44,651240000,-1232611000,214.3,2014,2024,2014.0,2024.0,,,,
DELINE CS,NORTHWEST TERRITORIES,2201022,27749,71503.0,XDE,65.21,-123.43,651231090,-1232600070,212.8,1999,2024,1999.0,2024.0,1999.0,2024.0,1999.0,2007.0
DELINE A,NORTHWEST TERRITORIES,2201023,52964,,YWJ,65.21,-123.44,651240000,-1232611000,214.3,2014,2024,2014.0,2024.0,2018.0,2024.0,,
DEADMEN VALLEY,NORTHWEST TERRITORIES,22010H0,31187,71021.0,XDK,61.26,-124.47,611524000,-1242806000,283.0,2001,2024,2001.0,2024.0,2001.0,2024.0,2001.0,2007.0
DELINE A,NORTHWEST TERRITORIES,22010KA,6850,,YWJ,65.21,-123.44,651240000,-1232611000,214.27,1991,2014,1991.0,2014.0,1991.0,2014.0,1991.0,2007.0
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201400,1644,,YGH,66.24,-128.65,661427000,-1283903000,81.38,1944,2015,1965.0,2015.0,1944.0,2015.0,1944.0,2007.0
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201401,52602,,YGH,66.24,-128.65,661426000,-1283851000,81.4,2015,2024,2015.0,2024.0,,,,
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201406,53580,,YGH,66.24,-128.65,661426000,-1283851000,81.4,2015,2024,2015.0,2024.0,2018.0,2024.0,,
FORT GOOD HOPE CS,NORTHWEST TERRITORIES,2201450,27549,71491.0,ZGH,66.24,-128.64,661432044,-1283839081,81.7,1998,2024,1998.0,2024.0,1998.0,2024.0,1998.0,2007.0
FORT LIARD A,NORTHWEST TERRITORIES,2201575,1646,,YJF,60.24,-123.47,601406000,-1232801000,215.8,1973,2014,1973.0,2014.0,1973.0,2014.0,1973.0,2007.0
FORT LIARD A,NORTHWEST TERRITORIES,2201576,52779,,YJF,60.24,-123.47,601408000,-1232812000,215.8,2014,2024,2014.0,2024.0,,,,
FORT LIARD,NORTHWEST TERRITORIES,2201579,10687,71497.0,WJL,60.23,-123.47,601400000,-1232800000,213.4,1994,2024,1994.0,2024.0,1996.0,2024.0,1996.0,2007.0
FORT LIARD A,NORTHWEST TERRITORIES,2201581,52965,,YJF,60.24,-123.47,601408000,-1232812000,215.8,2014,2024,2014.0,2024.0,2018.0,2024.0,,
FORT MCPHERSON A,NORTHWEST TERRITORIES,2201599,51882,,ZFM,67.41,-134.86,672425000,-1345135000,35.4,2014,2024,2014.0,2024.0,,,,
FORT MCPHERSON A,NORTHWEST TERRITORIES,2201601,1648,,ZFM,67.41,-134.86,672428000,-1345137000,35.4,1981,2014,1988.0,2014.0,1981.0,2014.0,1981.0,2007.0
FORT MCPHERSON A,NORTHWEST TERRITORIES,2201606,52963,,ZFM,67.41,-134.86,672425000,-1345135000,35.4,2014,2024,2014.0,2024.0,2018.0,2024.0,,
TULITA A,NORTHWEST TERRITORIES,2201700,1650,,ZFN,64.91,-125.57,645431000,-1253406000,100.3,1903,2014,1987.0,2014.0,1903.0,2014.0,1903.0,2007.0
TULITA A,NORTHWEST TERRITORIES,2201701,52798,,ZFN,64.91,-125.57,645435000,-1253410000,100.3,2014,2024,2014.0,2024.0,,,,
TULITA A,NORTHWEST TERRITORIES,2201705,52967,,ZFN,64.91,-125.57,645435000,-1253410000,100.3,2014,2024,2014.0,2024.0,2018.0,2024.0,,
FORT PROVIDENCE,NORTHWEST TERRITORIES,2201799,10902,71087.0,WID,61.32,-117.6,611901000,-1173607000,161.5,1994,2024,1994.0,2024.0,1994.0,2024.0,2006.0,2007.0
FORT RELIANCE (AUT),NORTHWEST TERRITORIES,2201903,8935,71160.0,WFZ,62.71,-109.17,624241000,-1091006000,167.6,1994,2024,1994.0,2024.0,1994.0,2024.0,1996.0,2007.0
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202000,1654,,YFR,61.18,-113.69,611051000,-1134123000,160.3,1930,2014,1954.0,2014.0,1930.0,2014.0,1930.0,2007.0
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202001,53324,,YFR,61.18,-113.69,611051000,-1134123000,160.6,2014,2024,2014.0,2024.0,,,,
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202010,53322,,YFR,61.18,-113.69,611051000,-1134123000,160.6,2014,2024,2014.0,2024.0,2018.0,2024.0,,
FORT SIMPSON A,NORTHWEST TERRITORIES,2202101,1656,71946.0,YFS,61.76,-121.24,614537000,-1211412000,169.2,1963,2014,1963.0,2014.0,1963.0,2014.0,1963.0,2010.0
FORT SIMPSON CLIMATE,NORTHWEST TERRITORIES,2202102,41944,71365.0,ZFS,61.76,-121.24,614537000,-1211412000,168.0,2003,2024,2003.0,2024.0,2003.0,2024.0,2003.0,2007.0
FORT SIMPSON A,NORTHWEST TERRITORIES,2202103,52780,71946.0,YFS,61.76,-121.24,614537000,-1211412000,169.5,2014,2024,2014.0,2024.0,2014.0,2024.0,,
FORT SIMPSON A,NORTHWEST TERRITORIES,2202104,54159,,YFS,61.76,-121.24,614537000,-1211412000,169.5,2016,2024,2016.0,2024.0,2018.0,2024.0,,
FORT SIMPSON,NORTHWEST TERRITORIES,2202115,27609,,XFS,61.76,-121.24,614537000,-1211412000,169.2,1998,2010,1998.0,2000.0,1998.0,2010.0,1998.0,2000.0
FORT SMITH A,NORTHWEST TERRITORIES,2202200,1660,71934.0,YSM,60.02,-111.96,600113000,-1115743000,205.13,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0
FORT SMITH A,NORTHWEST TERRITORIES,2202201,53119,71934.0,YSM,60.02,-111.96,600113000,-1115743000,205.1,2014,2024,2014.0,2024.0,2014.0,2024.0,,
FORT SMITH CLIMATE,NORTHWEST TERRITORIES,2202202,41884,71362.0,ZSM,60.03,-111.93,600134000,-1115546000,203.0,2003,2024,2003.0,2024.0,2003.0,2024.0,2003.0,2007.0
FORT SMITH A,NORTHWEST TERRITORIES,2202203,54218,,YSM,60.02,-111.96,600113000,-1115743000,205.1,2016,2024,2016.0,2024.0,2018.0,2024.0,,
HALDANE RIVER,NORTHWEST TERRITORIES,2202349,26868,,WNW,67.07,-121.1,670400000,-1210600000,242.5,1995,1999,1995.0,1999.0,1995.0,1999.0,1998.0,1998.0
HANBURY RIVER,NORTHWEST TERRITORIES,2202351,10897,71963.0,WQY,63.6,-105.13,633600000,-1050800000,317.4,1994,2024,1994.0,2024.0,1994.0,2024.0,1998.0,2007.0
HAY RIVER A,NORTHWEST TERRITORIES,2202400,1664,71935.0,YHY,60.84,-115.78,605023000,-1154658000,164.9,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0
HAY RIVER A,NORTHWEST TERRITORIES,2202401,52600,71935.0,YHY,60.84,-115.78,605023000,-1154658000,164.9,2014,2024,2014.0,2024.0,2014.0,2024.0,,
HAY RIVER CLIMATE,NORTHWEST TERRITORIES,2202402,41885,71361.0,ZHY,60.84,-115.78,605020000,-1154636000,164.0,2003,2024,2003.0,2024.0,2003.0,2024.0,2003.0,2007.0
HAY RIVER A,NORTHWEST TERRITORIES,2202403,54140,,YHY,60.84,-115.78,605023000,-1154658000,164.9,2016,2024,2016.0,2024.0,2018.0,2024.0,,
INDIN RIVER,NORTHWEST TERRITORIES,2202552,10757,,WIE,64.39,-115.02,642320000,-1150116000,304.7,1994,2004,1994.0,2004.0,1994.0,2002.0,1996.0,2002.0
INNER WHALEBACKS,NORTHWEST TERRITORIES,2202560,10209,71162.0,WBJ,61.92,-113.73,615513030,-1134335040,165.2,1994,2024,1994.0,2024.0,1994.0,2024.0,1998.0,2007.0
INUVIK A,NORTHWEST TERRITORIES,2202570,1669,,YEV,68.3,-133.48,681815000,-1332858000,67.7,1957,2013,1958.0,2013.0,1957.0,2006.0,1957.0,2006.0
INUVIK A,NORTHWEST TERRITORIES,2202571,51477,,YEV,68.3,-133.48,681814000,-1332859000,67.7,2013,2024,2013.0,2024.0,2018.0,2024.0,,
INUVIK AWOS A,NORTHWEST TERRITORIES,2202575,31470,71957.0,YEV,68.3,-133.48,681800000,-1332900000,67.67,2006,2013,2008.0,2013.0,2006.0,2013.0,2006.0,2007.0
INUVIK CLIMATE,NORTHWEST TERRITORIES,2202578,41883,71364.0,ZEV,68.32,-133.52,681900000,-1333100000,103.0,2003,2024,2003.0,2024.0,2003.0,2024.0,2003.0,2007.0
JEAN MARIE,NORTHWEST TERRITORIES,2202640,27794,,XJM,61.35,-120.78,612100000,-1204700000,227.27,1999,2000,1999.0,2000.0,1999.0,2000.0,,
KEATS POINT,NORTHWEST TERRITORIES,2202663,10825,71058.0,WKP,69.67,-121.67,694022000,-1214021000,330.2,1998,2022,1998.0,2022.0,2001.0,2022.0,2006.0,2006.0
WHATI,NORTHWEST TERRITORIES,2202678,1674,71163.0,WMT,63.13,-117.24,630801070,-1171441050,271.3,1974,2024,1994.0,2024.0,1974.0,2024.0,1974.0,2007.0
LUTSELK'E A,NORTHWEST TERRITORIES,2202687,53510,,YLK,62.42,-110.68,622506000,-1104056000,178.6,2015,2024,2015.0,2024.0,,,,
LUTSELK'E A,NORTHWEST TERRITORIES,2202690,53508,,YLK,62.42,-110.68,622506000,-1104056000,178.6,2015,2024,2015.0,2024.0,2018.0,2024.0,,
NICHOLSON PENINSULA,NORTHWEST TERRITORIES,2202750,1679,,WRP,69.93,-128.97,695600000,-1285800000,88.7,1957,2010,1973.0,1993.0,1957.0,2010.0,1957.0,1993.0
NICHOLSON PENINSULA 2,NORTHWEST TERRITORIES,2202751,54758,73230.0,BAR,69.92,-128.97,695529000,-1285827000,87.9,2021,2023,2021.0,2023.0,2021.0,2023.0,,
NORMAN WELLS A,NORTHWEST TERRITORIES,2202800,1680,,,65.28,-126.8,651657000,-1264801000,72.54,1943,2012,1953.0,2012.0,1943.0,2012.0,1943.0,2012.0
NORMAN WELLS A,NORTHWEST TERRITORIES,2202801,50717,71043.0,YVQ,65.28,-126.8,651653000,-1264755000,72.5,2012,2024,2012.0,2024.0,2012.0,2024.0,,
NORMAN WELLS CLIMATE,NORTHWEST TERRITORIES,2202810,43004,71480.0,NVQ,65.29,-126.75,651715090,-1264512084,93.6,2003,2024,2003.0,2024.0,2004.0,2024.0,2005.0,2007.0
PAULATUK A,NORTHWEST TERRITORIES,2203055,53420,,YPC,69.36,-124.08,692138000,-1240433000,4.6,2015,2024,2015.0,2024.0,2018.0,2024.0,,
PAULATUK A,NORTHWEST TERRITORIES,2203056,53418,,YPC,69.36,-124.08,692138000,-1240433000,4.6,2015,2024,2015.0,2024.0,,,,
PAULATUK A,NORTHWEST TERRITORIES,2203057,1685,,YPC,69.36,-124.08,692140000,-1240431000,4.57,1985,2015,1987.0,2015.0,1985.0,2014.0,1985.0,2007.0
PAULATUK,NORTHWEST TERRITORIES,2203058,26986,71984.0,ZPK,69.36,-124.08,692128004,-1240457005,6.3,1994,2024,1994.0,2024.0,1994.0,2024.0,2000.0,2007.0
PELLY ISLAND,NORTHWEST TERRITORIES,2203095,10091,71502.0,WND,69.63,-135.44,693757000,-1352638000,17.0,1993,2024,1994.0,2024.0,1993.0,2024.0,2006.0,2006.0
POWDER LAKE,NORTHWEST TERRITORIES,2203315,10931,,WMP,61.97,-108.62,615800000,-1083700000,485.0,1994,2003,1994.0,2003.0,1994.0,2003.0,1996.0,2003.0
QAVVIK LAKE,NORTHWEST TERRITORIES,2203341,27889,71583.0,XQA,68.25,-122.1,681516000,-1220610000,548.0,1999,2011,2000.0,2011.0,1999.0,2011.0,2000.0,2007.0
RABBIT KETTLE,NORTHWEST TERRITORIES,2203342,26895,71980.0,WQF,61.96,-127.21,615747000,-1271233000,618.0,1995,2024,1995.0,2024.0,1995.0,2024.0,1998.0,2007.0
GAMETI,NORTHWEST TERRITORIES,2203359,10926,71165.0,WYH,64.11,-117.33,640642078,-1171940086,221.0,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2006.0
GAMETI AIRPORT,NORTHWEST TERRITORIES,2203361,27798,,YRA,64.12,-117.31,640700000,-1171834000,220.4,2000,2014,2000.0,2013.0,2000.0,2014.0,2000.0,2007.0
GAMETI A,NORTHWEST TERRITORIES,2203362,51886,,YRA,64.12,-117.31,640658000,-1171835000,220.7,2013,2024,2013.0,2024.0,,,,
GAMETI A,NORTHWEST TERRITORIES,2203365,52966,,YRA,64.12,-117.31,640658000,-1171835000,220.7,2014,2024,2014.0,2024.0,2018.0,2024.0,,
RAMPART RIVER,NORTHWEST TERRITORIES,2203390,26833,,WMU,65.95,-130.47,655700000,-1302800000,154.5,1994,2003,1994.0,2002.0,1994.0,2003.0,1996.0,2002.0
ST CHARLES CREEK,NORTHWEST TERRITORIES,2203656,26896,,WMV,64.78,-124.22,644700000,-1241300000,341.0,1995,2003,1995.0,2003.0,1995.0,2003.0,1998.0,2002.0
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203911,53582,,YUB,69.43,-133.03,692600000,-1330135000,4.3,2015,2024,2015.0,2024.0,2018.0,2024.0,,
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203912,1700,,YUB,69.43,-133.03,692600000,-1330135000,4.27,1970,2015,1970.0,2015.0,1970.0,2015.0,1970.0,2007.0
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203913,53581,,YUB,69.43,-133.03,692600000,-1330135000,4.3,2015,2024,2015.0,2024.0,,,,
TUKTOYAKTUK,NORTHWEST TERRITORIES,2203914,26987,71985.0,ZUB,69.43,-133.02,692600000,-1330100000,4.6,1994,2024,1994.0,2024.0,1995.0,2024.0,1999.0,2006.0
TUKTUT NOGAIT,NORTHWEST TERRITORIES,2203918,27626,71492.0,XTN,69.2,-122.36,691156000,-1222133000,551.6,1998,2024,1998.0,2024.0,1998.0,2024.0,1998.0,2007.0
VIRGINIA FALLS,NORTHWEST TERRITORIES,2203943,8947,,WFV,61.63,-125.8,613800000,-1254800000,609.6,1994,2009,1994.0,2004.0,1994.0,2009.0,1998.0,2002.0
WEKWEETI A,NORTHWEST TERRITORIES,2203980,50721,73125.0,YWE,64.19,-114.08,641127000,-1140436000,368.2,2012,2024,2012.0,2024.0,2018.0,2024.0,,
WRIGLEY A,NORTHWEST TERRITORIES,2204000,1705,,YWY,63.21,-123.44,631234000,-1232612000,149.7,1943,2015,1957.0,2015.0,1943.0,2015.0,1943.0,2007.0
WRIGLEY A,NORTHWEST TERRITORIES,2204001,53600,,YWY,63.21,-123.44,631235000,-1232612000,149.7,2015,2023,2015.0,2023.0,,,,
WRIGLEY A,NORTHWEST TERRITORIES,2204005,53601,,YWY,63.21,-123.44,631235000,-1232612000,149.7,2015,2024,2015.0,2024.0,2018.0,2024.0,,
YELLOWKNIFE A,NORTHWEST TERRITORIES,2204100,1706,71936.0,YZF,62.46,-114.44,622746000,-1142625000,205.7,1942,2013,1953.0,2013.0,1942.0,2013.0,1942.0,2007.0
YELLOWKNIFE A,NORTHWEST TERRITORIES,2204101,51058,71936.0,YZF,62.46,-114.44,622747000,-1142625000,205.7,2013,2024,2013.0,2024.0,2013.0,2024.0,,
YELLOWKNIFE AIRPORT,NORTHWEST TERRITORIES,2204108,55358,73044.0,NYE,62.47,-114.45,622828000,-1142657000,205.0,2022,2024,2022.0,2024.0,2022.0,2024.0,,
YOHIN,NORTHWEST TERRITORIES,2204300,1635,71020.0,XYH,61.24,-123.74,611431000,-1234430000,204.0,1957,2024,1973.0,2024.0,1957.0,2024.0,1957.0,2007.0
LIVERPOOL BAY,NORTHWEST TERRITORIES,220B68C,10823,71960.0,WLI,69.6,-130.91,693615000,-1305438000,101.9,1992,2023,1994.0,2023.0,1992.0,2023.0,2005.0,2007.0
LITTLE CHICAGO,NORTHWEST TERRITORIES,220B6Q3,10760,71164.0,WLG,67.18,-130.23,671045000,-1301341000,62.5,1993,2024,1994.0,2024.0,1993.0,2024.0,2005.0,2007.0
SAMBAA K'E,NORTHWEST TERRITORIES,220CQHR,10880,71166.0,WTE,60.44,-121.24,602627000,-1211420000,498.0,1994,2024,1994.0,2024.0,1994.0,2024.0,2006.0,2007.0
LUTSELK'E A,NORTHWEST TERRITORIES,220L001,27797,,YLK,62.42,-110.68,622507000,-1104056000,178.6,1999,2016,1999.0,2015.0,1999.0,2016.0,1999.0,2007.0
LUTSELK'E CS,NORTHWEST TERRITORIES,220L002,29451,71529.0,XLU,62.42,-110.69,622456030,-1104125070,178.9,1999,2017,1999.0,2017.0,2000.0,2017.0,2000.0,2007.0
GRAY LAKE,NORTHWEST TERRITORIES,220LBQK,10929,,WJP,61.92,-108.43,615500000,-1082600000,451.1,1994,2001,1994.0,2001.0,1994.0,2001.0,1996.0,2000.0
STORM HILLS,NORTHWEST TERRITORIES,220LQJJ,10824,71052.0,WVH,68.91,-133.94,685439000,-1335630000,261.4,1993,2024,1999.0,2024.0,1993.0,2024.0,2000.0,2000.0
EKATI A,NORTHWEST TERRITORIES,220N001,27240,,YOA,64.7,-110.61,644156000,-1103653000,468.2,1997,2016,1997.0,2016.0,1998.0,2016.0,1998.0,2007.0
LINDBERG LANDING,NORTHWEST TERRITORIES,220N003,27608,71682.0,XLL,61.13,-122.85,610730000,-1225104000,183.0,1998,2024,1998.0,2024.0,1998.0,2024.0,1998.0,2007.0
LOWER CARP LAKE,NORTHWEST TERRITORIES,220N004,27610,71680.0,XLC,63.6,-113.86,633610080,-1135145040,373.4,1992,2024,1992.0,2024.0,1998.0,2024.0,1998.0,2006.0
TRAIL VALLEY,NORTHWEST TERRITORIES,220N005,27620,71683.0,XTV,68.75,-133.5,684446800,-1333006400,85.0,1998,2024,1998.0,2024.0,1998.0,2024.0,2002.0,2006.0
ARVIAT AWOS,NUNAVUT,2300426,47427,,YEK,61.1,-94.07,610600000,-940400000,10.4,2008,2012,2008.0,2012.0,2008.0,2012.0,,
ARVIAT A,NUNAVUT,2300427,50557,71174.0,YEK,61.09,-94.07,610538000,-940418000,10.4,2006,2024,2006.0,2024.0,2012.0,2024.0,,
ARVIAT A,NUNAVUT,2300428,50718,,YEK,61.09,-94.07,610538000,-940418000,10.4,2012,2024,2012.0,2024.0,,,,
BAKER LAKE A,NUNAVUT,2300500,1709,71926.0,YBK,64.3,-96.08,641756000,-960440000,18.6,1946,2013,1953.0,2013.0,1946.0,2013.0,1946.0,2013.0
BAKER LAKE CLIMATE,NUNAVUT,2300501,42583,71356.0,XBL,64.32,-96.0,641900000,-960000000,50.8,2004,2024,2004.0,2024.0,2004.0,2024.0,2005.0,2007.0
BAKER LAKE A,NUNAVUT,2300503,51417,71926.0,YBK,64.3,-96.08,641756000,-960440000,18.6,2013,2024,2013.0,2024.0,2013.0,2024.0,,
BAKER LAKE A,NUNAVUT,2300504,54138,,YBK,64.3,-96.08,641756000,-960440000,18.6,2016,2024,2016.0,2024.0,2018.0,2024.0,,
BATHURST INLET,NUNAVUT,2300551,50657,71874.0,NBI,66.84,-108.01,665015050,-1080053030,5.0,2012,2024,2012.0,2024.0,2012.0,2024.0,,
BERNARD HARBOUR,NUNAVUT,2300556,54778,73231.0,PIN,68.76,-114.94,684519000,-1145623000,61.5,2021,2024,2021.0,2024.0,2021.0,2024.0,,
CHESTERFIELD INLET A,NUNAVUT,2300701,51998,,YCS,63.35,-90.73,632050000,-904352000,9.8,2013,2024,2013.0,2024.0,,,,
CHESTERFIELD INLET A,NUNAVUT,2300707,1712,,YCS,63.35,-90.73,632049000,-904352000,9.8,1985,2014,1985.0,2013.0,1985.0,2014.0,1985.0,2007.0
CHESTERFIELD INLET AIRPORT,NUNAVUT,2300708,55658,73101.0,NCS,63.34,-90.73,632041880,-904355019,12.38,2024,2024,2024.0,2024.0,2024.0,2024.0,,
CHESTERFIELD INLET A,NUNAVUT,2300710,52968,,YCS,63.35,-90.73,632050000,-904352000,9.8,2014,2024,2014.0,2024.0,2018.0,2024.0,,
CLINTON POINT,NUNAVUT,2300750,1637,71053.0,WXK,69.58,-120.8,693500000,-1204800000,100.6,1957,1993,1958.0,1993.0,1957.0,1993.0,1957.0,1993.0
KUGLUKTUK A,NUNAVUT,2300902,1641,71938.0,YCO,67.82,-115.14,674900000,-1150838000,22.6,1977,2014,1978.0,2014.0,1977.0,2014.0,1977.0,2014.0
KUGLUKTUK A,NUNAVUT,2300903,53335,71938.0,YCO,67.82,-115.14,674900000,-1150838000,22.6,2014,2024,2014.0,2024.0,2014.0,2024.0,,
KUGLUKTUK CLIMATE,NUNAVUT,2300904,43003,71332.0,NCO,67.82,-115.14,674902004,-1150807000,22.6,2004,2024,2005.0,2024.0,2004.0,2024.0,2005.0,2007.0
KUGLUKTUK A,NUNAVUT,2300905,54158,,YCO,67.82,-115.14,674900000,-1150838000,22.6,2016,2024,2016.0,2024.0,2018.0,2024.0,,
ARVIAT A,NUNAVUT,2300MKF,1708,,YEK,61.1,-94.07,610600000,-940400000,10.4,1973,2016,1984.0,2012.0,1973.0,2016.0,1973.0,2007.0
BACK RIVER (AUT),NUNAVUT,2300MQM,10723,,WXV,66.09,-96.51,660510014,-963039000,61.0,1994,2004,1994.0,2004.0,1995.0,2004.0,1999.0,2003.0
CORAL HARBOUR A,NUNAVUT,2301000,1713,71915.0,YZS,64.19,-83.36,641136000,-832134000,62.2,1933,2015,1953.0,2015.0,1933.0,2015.0,1933.0,2015.0
CORAL HARBOUR A,NUNAVUT,2301002,53421,71915.0,YZS,64.19,-83.36,641136000,-832134000,62.2,2015,2024,2015.0,2024.0,2015.0,2024.0,,
CORAL HARBOUR A,NUNAVUT,2301004,54220,,YZS,64.19,-83.36,641136000,-832134000,62.2,2016,2024,2016.0,2024.0,2018.0,2024.0,,
CORAL HARBOUR RCS,NUNAVUT,2301010,47347,71134.0,NZS,64.18,-83.35,641100000,-832100000,57.0,2014,2024,2014.0,2024.0,2014.0,2024.0,,
ELLICE RIVER (AUT),NUNAVUT,2301094,10895,,WEV,67.72,-104.47,674300000,-1042800000,42.0,1994,2007,1994.0,2003.0,1994.0,2007.0,2006.0,2006.0
ENNADAI LAKE (AUT),NUNAVUT,2301102,7341,71923.0,WJC,61.13,-100.88,610755000,-1005302000,353.1,1994,2024,1994.0,2024.0,1994.0,2024.0,1998.0,2007.0
ARVIAT CLIMATE,NUNAVUT,2301153,41576,71322.0,XAR,61.1,-94.07,610600000,-940400000,9.8,2004,2024,2004.0,2024.0,2004.0,2024.0,2005.0,2007.0
BROWN RIVER,NUNAVUT,2301331,10971,,WBR,66.03,-91.83,660200000,-915000000,150.0,1994,2004,1994.0,2001.0,1994.0,2004.0,1996.0,2001.0
GJOA HAVEN A,NUNAVUT,2302335,1715,,YHK,68.64,-95.85,683808000,-955101000,46.9,1984,2014,1984.0,2013.0,1984.0,2014.0,1984.0,2007.0
GJOA HAVEN A,NUNAVUT,2302336,51082,,YHK,68.64,-95.85,683808000,-955101000,46.9,2013,2024,2013.0,2024.0,,,,
GJOA HAVEN A,NUNAVUT,2302337,51079,71597.0,YHK,68.64,-95.85,683808000,-955101000,46.9,2013,2024,2013.0,2024.0,2013.0,2024.0,,
GJOA HAVEN AWOS A,NUNAVUT,2302338,31268,,YHK,68.64,-95.85,683808000,-955101000,46.94,2008,2013,2008.0,2013.0,,,,
GJOA HAVEN CLIMATE,NUNAVUT,2302340,41943,71363.0,ZHK,68.64,-95.85,683808000,-955101000,42.3,2003,2024,2003.0,2024.0,2003.0,2024.0,2003.0,2007.0
HAT ISLAND,NUNAVUT,2302370,1716,71084.0,WIL,68.32,-100.09,681905000,-1000513000,36.1,1959,2023,1994.0,2023.0,1959.0,2023.0,1959.0,2007.0
JENNY LIND ISLAND A,NUNAVUT,2302650,1717,71071.0,YUQ,68.65,-101.73,683900000,-1014400000,18.3,1957,1992,1973.0,1992.0,1957.0,1992.0,1957.0,1992.0
LADY FRANKLIN POINT A,NUNAVUT,2302680,1675,71937.0,YUJ,68.5,-113.22,683000000,-1131300000,15.9,1957,2000,1973.0,2000.0,1957.0,2000.0,1957.0,1993.0
LUPIN A,NUNAVUT,23026HN,1671,,YWO,65.76,-111.25,654533000,-1111500000,490.1,1982,2006,1982.0,2006.0,1982.0,2006.0,1982.0,2006.0
PELLY BAY,NUNAVUT,2303090,1718,,WKE,68.43,-89.72,682600000,-894300000,325.8,1955,1992,1955.0,1992.0,1957.0,1992.0,1957.0,1992.0
KUGAARUK A,NUNAVUT,2303091,53515,,YBB,68.54,-89.81,683209000,-894819000,15.5,2015,2024,2015.0,2024.0,,,,
KUGAARUK A,NUNAVUT,2303092,1719,,YBB,68.54,-89.8,683226000,-894750000,15.54,1984,2015,1984.0,2015.0,1984.0,2012.0,1984.0,2007.0
PELLY BAY,NUNAVUT,2303093,10847,71918.0,WRF,68.44,-89.73,682613000,-894333000,324.45,1994,2023,1994.0,2023.0,1994.0,2023.0,2005.0,2007.0
KUGAARUK CLIMATE,NUNAVUT,2303094,43006,71407.0,NBB,68.54,-89.8,683215060,-894747020,15.8,2004,2024,2004.0,2024.0,2004.0,2024.0,2007.0,2007.0
KUGAARUK A,NUNAVUT,2303095,53518,,YBB,68.54,-89.81,683209000,-894819000,15.5,2015,2024,2015.0,2024.0,2018.0,2024.0,,
RANKIN INLET A,NUNAVUT,2303401,1721,71083.0,YRT,62.82,-92.12,624900000,-920700000,32.31,1981,2013,1981.0,2013.0,1981.0,2013.0,1981.0,2013.0
